"","group","time_in_serie","length","length_rel","direction","environment","scale"
"1",1,1,32.449963,0.11,56.31,68.3,0
"2",1,1,59.3043,0.2,84.19,67.42,0
"3",1,1,83.761566,0.28,33.31,59.03,0
"4",1,1,35.341194,0.12,64.89,56.18,0
"5",1,1,53.450912,0.18,17.42,57.19,0
"6",1,1,20.248457,0.07,57.09,62.35,0
"7",1,1,30.870699,0.1,65.1,54.4,0
"8",1,1,79.30952,0.27,5.06,53.12,0
"9",1,1,62.225395,0.21,45,59.81,0
"10",1,1,43.081318,0.14,68.2,64.96,0
"11",1,1,58.5235,0.2,56.85,55.08,0
"12",1,1,64.03124,0.22,14.47,59.78,0
"13",1,1,61.073727,0.21,50.31,59.41,0
"14",1,1,139.58868,0.47,28.22,56.14,0
"15",1,1,29.068884,0.1,63.43,57.68,0
"16",1,1,41.59327,0.14,9.69,62.39,0
"17",1,1,297.6592,1,32.52,53.43,0
"18",1,1,51.40039,0.17,52.91,55.95,0
"19",1,1,32.649654,0.11,27.35,51.2,0
"20",1,1,29.15476,0.1,30.96,56.23,0
"21",1,1,104.89042,0.35,41.13,61.66,0
"22",1,1,73.409805,0.25,24.12,49.27,0
"23",1,1,27.202942,0.09,72.9,58.95,0
"24",1,1,63.529522,0.21,28.18,49.55,0
"25",1,1,99.764725,0.34,47.03,46.95,0
"26",1,1,28.635643,0.1,65.22,64.38,0
"27",1,1,61.81424,0.21,9.31,56.55,0
"28",1,1,37.01351,0.12,51.58,44.36,0
"29",1,1,130.80138,0.44,36.61,68.48,0
"30",1,1,26,0.09,67.38,56.06,0
"31",1,1,49.396355,0.17,21.37,54.18,0
"32",1,1,129.80756,0.44,68.77,54.96,0
"33",1,1,46.69047,0.16,46.74,55.76,0
"34",1,1,43.13931,0.14,45.94,62.35,0
"35",1,1,32.202484,0.11,53.84,57.59,0
"36",1,1,63.387695,0.21,6.34,59.6,0
"37",1,1,99.985,0.34,30.67,53.9,0
"38",1,1,109.98637,0.37,49.79,44.66,0
"39",1,1,115.12167,0.39,57.41,67.1,0
"40",1,1,70.45566,0.24,34.59,55.96,0
"41",1,1,33.600594,0.11,53.47,69.32,0
"42",1,1,84.0238,0.28,51.77,62.74,0
"43",1,1,75.10659,0.25,3.05,60.77,0
"44",1,1,24.758837,0.08,43.36,68.26,0
"45",1,1,92.76314,0.31,48.06,61.78,0
"46",1,1,48.8774,0.16,59.24,57.54,0
"47",1,1,31.304953,0.11,63.43,64.63,0
"48",1,1,116.41735,0.39,76.08,64.18,0
"49",1,1,181.5957,0.61,62.45,57.31,0
"50",1,1,64.84597,0.22,17.04,61.66,0
"51",1,1,144.91722,0.49,58.83,51.29,0
"52",1,1,89.1852,0.3,59.7,61.69,0
"53",1,1,36.619667,0.12,55.01,61.36,0
"54",1,1,42.755116,0.14,79.22,55.49,0
"55",1,1,38.470768,0.13,8.97,60.61,0
"56",1,1,37.215588,0.13,30.7,63.98,0
"57",1,1,85.146935,0.29,3.37,71.07,0
"58",1,1,108.52189,0.36,16.6,66.46,0
"59",1,1,26.400757,0.09,24.62,67.31,0
"60",1,3,69.63476,0.23,54.94,55.56,0
"61",1,3,35.510563,0.12,57.65,61.08,0
"62",1,3,23.345236,0.08,80.13,52.14,0
"63",1,3,57.201397,0.19,53.53,64.67,0
"64",1,3,38.27532,0.13,56.73,63.6,0
"65",1,3,122.87392,0.41,56.96,61.82,0
"66",1,3,102.7278,0.35,58.94,64.5,0
"67",1,3,44.553337,0.15,44.09,49.02,0
"68",1,3,156.84706,0.53,49.91,58.02,0
"69",1,3,69.065186,0.23,55.62,61.67,0
"70",1,3,77.87811,0.26,65.74,54.63,0
"71",1,3,83.528435,0.28,58.21,55.8,0
"72",1,3,39.623226,0.13,47.05,58.28,0
"73",1,3,62.625874,0.21,38.52,54.5,0
"74",1,3,78.63841,0.26,82.69,62.01,0
"75",1,3,21.931713,0.07,65.77,59.96,0
"76",1,3,37.161808,0.12,66.19,59.36,0
"77",1,3,136.74063,0.46,55.73,64.02,0
"78",1,3,64.07808,0.22,67.04,59.06,0
"79",1,3,33.24154,0.11,6.91,58.68,0
"80",1,3,75.47185,0.25,57.99,66.44,0
"81",1,3,93.40771,0.31,37.61,61.53,0
"82",1,3,39.20459,0.13,37.75,49.98,0
"83",1,3,37.01351,0.12,38.42,68.61,0
"84",1,3,26.400757,0.09,52.7,68.56,0
"85",1,3,25.059929,0.08,61.39,63.02,0
"86",1,3,144.25671,0.48,7.57,69.75,0
"87",1,4,46.09772,0.15,49.4,54.75,0
"88",1,4,26.24881,0.09,72.26,53.12,0
"89",1,4,17.804493,0.06,38.16,49.99,0
"90",1,4,14.035668,0.05,4.09,54.78,0
"91",1,4,72.8011,0.24,52.82,57.8,0
"92",1,4,51.971146,0.17,11.09,67.52,0
"93",1,4,26.627054,0.09,55.71,55.93,0
"94",1,4,43.046486,0.14,59.26,66.66,0
"95",1,4,15.811388,0.05,71.57,50.52,0
"96",1,4,55.65968,0.19,72.22,74.23,0
"97",1,4,21.954498,0.07,30.07,56.85,0
"98",1,4,22.803509,0.08,52.13,58.81,0
"99",1,4,46.66905,0.16,45,59.29,0
"100",1,4,17.804493,0.06,51.84,67.53,0
"101",1,4,49.47727,0.17,75.96,64.62,0
"102",1,4,14.142136,0.05,8.13,66.23,0
"103",1,4,53.712196,0.18,61.05,65.03,0
"104",1,4,25,0.08,53.13,66.55,0
"105",1,4,32.06244,0.11,3.58,60.93,0
"106",1,4,22.135944,0.07,71.57,67.3,0
"107",1,4,29.732138,0.1,47.73,72.99,0
"108",1,4,17.088007,0.06,69.44,68.94,0
"109",1,4,26,0.09,22.62,68.63,0
"110",1,4,17.117243,0.06,83.29,71.03,0
"111",1,4,19.924858,0.07,72.47,72.76,0
"112",1,4,22.090721,0.07,5.19,69.88,0
"113",1,5,22.203604,0.07,82.23,58.98,0
"114",1,5,41.773197,0.14,47.91,52.41,0
"115",1,5,12.649111,0.04,71.57,62.32,0
"116",1,5,23.086792,0.08,72.35,53.61,0
"117",1,5,15.652476,0.05,26.57,62.61,0
"118",1,5,24.33105,0.08,9.46,57.08,0
"119",1,5,17.804493,0.06,51.84,49.78,0
"120",1,5,38.63936,0.13,10.44,56.02,0
"121",1,5,17.088007,0.06,20.56,60.18,0
"122",1,5,34.713108,0.12,48.5,60.42,0
"123",1,5,21.095022,0.07,31.43,58,0
"124",1,5,41.62932,0.14,65.9,53.35,0
"125",1,5,21.095022,0.07,31.43,57.22,0
"126",1,5,66.730804,0.22,70.75,55.5,0
"127",1,5,23.43075,0.08,39.81,58.89,0
"128",1,5,20.808653,0.07,54.78,54.39,0
"129",1,5,14.866069,0.05,19.65,66.01,0
"130",1,5,12.206555,0.04,55.01,64.72,0
"131",1,5,53.823788,0.18,54.83,68.05,0
"132",1,5,37.202152,0.12,53.75,63.22,0
"133",1,5,59.816387,0.2,51.79,68.48,0
"134",1,5,29.529646,0.1,61.7,58.86,0
